rt,choice,correct,dr,drt,participant
0.42660000000000003,1,1,1,0.1524,S1
0.6658999999999999,1,1,0,,S1
0.4146,1,0,0,,S1
0.5801000000000001,1,1,0,,S1
0.3455,1,1,0,,S1
0.2752,1,0,0,,S1
0.5421,2,1,0,,S1
0.5741,2,1,0,,S1
0.3498,2,0,0,,S1
0.698,2,1,0,,S1
0.6818,1,1,0,,S1
0.4681,2,1,0,,S1
0.45389999999999997,2,1,0,,S1
0.5973999999999999,2,1,0,,S1
0.4304,2,0,0,,S1
0.4755,2,1,0,,S1
0.7131000000000001,2,0,0,,S1
0.4802,1,0,0,,S1
0.598,1,1,0,,S1
0.4433,1,1,0,,S1
0.4547,2,1,0,,S1
0.4228,1,1,0,,S1
0.5077,2,1,0,,S1
0.6608999999999999,1,1,0,,S1
0.4806,1,1,0,,S1
0.36710000000000004,1,1,0,,S1
0.5126000000000001,2,0,0,,S1
0.6287999999999999,1,1,0,,S1
0.6172000000000001,2,1,0,,S1
0.4647,2,1,0,,S1
0.502,1,0,0,,S1
0.6103,2,1,0,,S1
0.6845,2,1,0,,S1
0.5727000000000001,1,1,0,,S1
0.49369999999999997,2,1,0,,S1
0.5177,1,1,0,,S1
0.5888,2,1,0,,S1
0.6527000000000001,2,1,0,,S1
0.4007,2,0,0,,S1
0.3459,2,0,0,,S1
0.4345,2,0,0,,S1
0.5802999999999999,2,1,0,,S1
0.4189,2,1,0,,S1
0.5515,1,1,0,,S1
0.44439999999999996,2,1,0,,S1
0.4884,1,1,0,,S1
0.4613,1,1,1,0.1551,S1
0.5155,2,1,0,,S1
0.5076,1,1,0,,S1
0.4585,1,1,0,,S1
0.5492,2,1,0,,S1
0.4703,2,1,0,,S1
0.5,1,1,0,,S1
0.4532,2,1,0,,S1
0.457,2,1,0,,S1
0.6353,1,1,0,,S1
0.6663,2,1,0,,S1
0.4285,2,0,0,,S1
0.4561,1,1,0,,S1
0.5594,1,0,0,,S1
0.49989999999999996,1,1,0,,S1
0.5398,2,1,0,,S1
0.4609,2,1,0,,S1
0.596,2,1,0,,S1
0.41969999999999996,1,1,0,,S1
0.4445,1,1,0,,S1
0.45130000000000003,1,1,0,,S1
0.36260000000000003,1,1,0,,S1
0.39139999999999997,1,0,0,,S1
0.4568,1,0,0,,S1
0.471,2,1,0,,S1
0.4772,2,1,0,,S1
0.42519999999999997,2,1,0,,S1
0.44260000000000005,2,1,0,,S1
0.5068,2,1,0,,S1
0.37439999999999996,2,1,0,,S1
0.494,2,1,0,,S1
0.3538,2,0,0,,S1
0.4758,1,1,0,,S1
0.5105,1,1,0,,S1
0.5969,2,1,0,,S1
0.5306000000000001,1,1,0,,S1
0.4142,1,0,0,,S1
0.5637000000000001,2,1,0,,S1
0.48369999999999996,2,1,0,,S1
0.4428,2,0,0,,S1
0.4973,2,1,0,,S1
0.3772,2,0,0,,S1
0.5323,2,1,0,,S1
0.4069,2,1,0,,S1
0.6678999999999999,2,1,0,,S1
